Year,Geography,Age group,Type of institution attended,GeoCode,Value
2014/2015,Alberta,30 to 34 years,University,48,4.0
2014/2015,British Columbia,30 to 34 years,Total participation rate,59,8.0
2014/2015,British Columbia,30 to 34 years,Elementary and/or High School,59,
2014/2015,British Columbia,30 to 34 years,College,59,3.0
2014/2015,British Columbia,30 to 34 years,University,59,4.0
2014/2015,Yukon,30 to 34 years,Total participation rate,60,9.0
2014/2015,Yukon,30 to 34 years,Elementary and/or High School,60,
2014/2015,Yukon,30 to 34 years,College,60,
2014/2015,Yukon,30 to 34 years,University,60,
2014/2015,Northwest Territories,30 to 34 years,Total participation rate,61,
2014/2015,Northwest Territories,30 to 34 years,Elementary and/or High School,61,
2014/2015,Northwest Territories,30 to 34 years,College,61,
2014/2015,Northwest Territories,30 to 34 years,University,61,
2014/2015,Nunavut,30 to 34 years,Total participation rate,62,
2014/2015,Nunavut,30 to 34 years,Elementary and/or High School,62,
2014/2015,Nunavut,30 to 34 years,College,62,
2014/2015,Nunavut,30 to 34 years,University,62,
2015/2016,Canada,30 to 34 years,Total participation rate,,6.0
2015/2016,Canada,30 to 34 years,Elementary and/or High School,,0.0
2015/2016,Canada,30 to 34 years,College,,2.0
2015/2016,Canada,30 to 34 years,University,,4.0
2015/2016,Newfoundland and Labrador,30 to 34 years,Total participation rate,10,6.0
2015/2016,Newfoundland and Labrador,30 to 34 years,Elementary and/or High School,10,
2015/2016,Newfoundland and Labrador,30 to 34 years,College,10,
2015/2016,Newfoundland and Labrador,30 to 34 years,University,10,5.0
2015/2016,Prince Edward Island,30 to 34 years,Total participation rate,11,7.0
2015/2016,Prince Edward Island,30 to 34 years,Elementary and/or High School,11,
2015/2016,Prince Edward Island,30 to 34 years,College,11,
2015/2016,Prince Edward Island,30 to 34 years,University,11,5.0
2015/2016,Nova Scotia,30 to 34 years,Total participation rate,12,7.0
2015/2016,Nova Scotia,30 to 34 years,Elementary and/or High School,12,
2015/2016,Nova Scotia,30 to 34 years,College,12,2.0
2015/2016,Nova Scotia,30 to 34 years,University,12,5.0
2015/2016,New Brunswick,30 to 34 years,Total participation rate,13,3.0
2015/2016,New Brunswick,30 to 34 years,Elementary and/or High School,13,
2015/2016,New Brunswick,30 to 34 years,College,13,2.0
2015/2016,New Brunswick,30 to 34 years,University,13,1.0
2015/2016,Quebec,30 to 34 years,Total participation rate,24,9.0
2015/2016,Quebec,30 to 34 years,Elementary and/or High School,24,1.0
2015/2016,Quebec,30 to 34 years,College,24,2.0
2015/2016,Quebec,30 to 34 years,University,24,6.0
2015/2016,Ontario,30 to 34 years,Total participation rate,35,5.0
2015/2016,Ontario,30 to 34 years,Elementary and/or High School,35,0.0
2015/2016,Ontario,30 to 34 years,College,35,2.0
2015/2016,Ontario,30 to 34 years,University,35,3.0
2015/2016,Manitoba,30 to 34 years,Total participation rate,46,6.0
2015/2016,Manitoba,30 to 34 years,Elementary and/or High School,46,
2015/2016,Manitoba,30 to 34 years,College,46,2.0
2015/2016,Manitoba,30 to 34 years,University,46,3.0
2015/2016,Saskatchewan,30 to 34 years,Total participation rate,47,5.0
2015/2016,Saskatchewan,30 to 34 years,Elementary and/or High School,47,
2015/2016,Saskatchewan,30 to 34 years,College,47,1.0
2015/2016,Saskatchewan,30 to 34 years,University,47,3.0
2015/2016,Alberta,30 to 34 years,Total participation rate,48,6.0
2015/2016,Alberta,30 to 34 years,Elementary and/or High School,48,
2015/2016,Alberta,30 to 34 years,College,48,2.0
2015/2016,Alberta,30 to 34 years,University,48,4.0
2015/2016,British Columbia,30 to 34 years,Total participation rate,59,6.0
2015/2016,British Columbia,30 to 34 years,Elementary and/or High School,59,
2015/2016,British Columbia,30 to 34 years,College,59,2.0
2015/2016,British Columbia,30 to 34 years,University,59,4.0
2015/2016,Yukon,30 to 34 years,Total participation rate,60,8.0
2015/2016,Yukon,30 to 34 years,Elementary and/or High School,60,
2015/2016,Yukon,30 to 34 years,College,60,
2015/2016,Yukon,30 to 34 years,University,60,
2015/2016,Northwest Territories,30 to 34 years,Total participation rate,61,
2015/2016,Northwest Territories,30 to 34 years,Elementary and/or High School,61,
2015/2016,Northwest Territories,30 to 34 years,College,61,
2015/2016,Northwest Territories,30 to 34 years,University,61,
2015/2016,Nunavut,30 to 34 years,Total participation rate,62,
2015/2016,Nunavut,30 to 34 years,Elementary and/or High School,62,
2015/2016,Nunavut,30 to 34 years,College,62,
2015/2016,Nunavut,30 to 34 years,University,62,
2016/2017,Canada,30 to 34 years,Total participation rate,,6.0
2016/2017,Canada,30 to 34 years,Elementary and/or High School,,0.0
2016/2017,Canada,30 to 34 years,College,,2.0
2016/2017,Canada,30 to 34 years,University,,4.0
2016/2017,Newfoundland and Labrador,30 to 34 years,Total participation rate,10,6.0
2016/2017,Newfoundland and Labrador,30 to 34 years,Elementary and/or High School,10,
2016/2017,Newfoundland and Labrador,30 to 34 years,College,10,2.0
2016/2017,Newfoundland and Labrador,30 to 34 years,University,10,4.0
2016/2017,Prince Edward Island,30 to 34 years,Total participation rate,11,6.0
2016/2017,Prince Edward Island,30 to 34 years,College,11,
2016/2017,Prince Edward Island,30 to 34 years,University,11,4.0
2016/2017,Nova Scotia,30 to 34 years,Total participation rate,12,7.0
2016/2017,Nova Scotia,30 to 34 years,Elementary and/or High School,12,
2016/2017,Nova Scotia,30 to 34 years,College,12,3.0
2016/2017,Nova Scotia,30 to 34 years,University,12,4.0
2016/2017,New Brunswick,30 to 34 years,Total participation rate,13,2.0
2016/2017,New Brunswick,30 to 34 years,College,13,
2016/2017,New Brunswick,30 to 34 years,University,13,1.0
2016/2017,Quebec,30 to 34 years,Total participation rate,24,8.0
2016/2017,Quebec,30 to 34 years,Elementary and/or High School,24,0.0
2016/2017,Quebec,30 to 34 years,College,24,2.0
2016/2017,Quebec,30 to 34 years,University,24,6.0
2016/2017,Ontario,30 to 34 years,Total participation rate,35,5.0
2016/2017,Ontario,30 to 34 years,Elementary and/or High School,35,
2016/2017,Ontario,30 to 34 years,College,35,2.0
2016/2017,Ontario,30 to 34 years,University,35,3.0
2016/2017,Manitoba,30 to 34 years,Total participation rate,46,8.0
2016/2017,Manitoba,30 to 34 years,Elementary and/or High School,46,
2016/2017,Manitoba,30 to 34 years,College,46,2.0
2016/2017,Manitoba,30 to 34 years,University,46,5.0
2016/2017,Saskatchewan,30 to 34 years,Total participation rate,47,5.0
2016/2017,Saskatchewan,30 to 34 years,Elementary and/or High School,47,
2016/2017,Saskatchewan,30 to 34 years,College,47,2.0
2016/2017,Saskatchewan,30 to 34 years,University,47,3.0
2016/2017,Alberta,30 to 34 years,Total participation rate,48,5.0
2016/2017,Alberta,30 to 34 years,Elementary and/or High School,48,
2016/2017,Alberta,30 to 34 years,College,48,2.0
2016/2017,Alberta,30 to 34 years,University,48,3.0
2016/2017,British Columbia,30 to 34 years,Total participation rate,59,6.0
2016/2017,British Columbia,30 to 34 years,Elementary and/or High School,59,
2016/2017,British Columbia,30 to 34 years,College,59,2.0
2016/2017,British Columbia,30 to 34 years,University,59,4.0
2016/2017,Yukon,30 to 34 years,Total participation rate,60,
2016/2017,Yukon,30 to 34 years,College,60,
2016/2017,Yukon,30 to 34 years,University,60,
2016/2017,Northwest Territories,30 to 34 years,Total participation rate,61,
2016/2017,Northwest Territories,30 to 34 years,Elementary and/or High School,61,
2016/2017,Northwest Territories,30 to 34 years,College,61,
2016/2017,Northwest Territories,30 to 34 years,University,61,
2016/2017,Nunavut,30 to 34 years,Total participation rate,62,
2016/2017,Nunavut,30 to 34 years,College,62,
2016/2017,Nunavut,30 to 34 years,University,62,
2017/2018,Canada,30 to 34 years,Total participation rate,,6.0
2017/2018,Canada,30 to 34 years,Elementary and/or High School,,0.0
2017/2018,Canada,30 to 34 years,College,,2.0
2017/2018,Canada,30 to 34 years,University,,3.0
2017/2018,Newfoundland and Labrador,30 to 34 years,Total participation rate,10,6.0
2017/2018,Newfoundland and Labrador,30 to 34 years,Elementary and/or High School,10,
2017/2018,Newfoundland and Labrador,30 to 34 years,College,10,
2017/2018,Newfoundland and Labrador,30 to 34 years,University,10,4.0
2017/2018,Prince Edward Island,30 to 34 years,Total participation rate,11,6.0
2017/2018,Prince Edward Island,30 to 34 years,College,11,
2017/2018,Prince Edward Island,30 to 34 years,University,11,5.0
2017/2018,Nova Scotia,30 to 34 years,Total participation rate,12,6.0
2017/2018,Nova Scotia,30 to 34 years,Elementary and/or High School,12,
2017/2018,Nova Scotia,30 to 34 years,College,12,2.0
2017/2018,Nova Scotia,30 to 34 years,University,12,4.0
2017/2018,New Brunswick,30 to 34 years,Total participation rate,13,4.0
2017/2018,New Brunswick,30 to 34 years,Elementary and/or High School,13,
2017/2018,New Brunswick,30 to 34 years,College,13,2.0
2017/2018,New Brunswick,30 to 34 years,University,13,2.0
2017/2018,Quebec,30 to 34 years,Total participation rate,24,8.0
2017/2018,Quebec,30 to 34 years,Elementary and/or High School,24,1.0
2017/2018,Quebec,30 to 34 years,College,24,2.0
2017/2018,Quebec,30 to 34 years,University,24,6.0
2017/2018,Ontario,30 to 34 years,Total participation rate,35,5.0
2017/2018,Ontario,30 to 34 years,Elementary and/or High School,35,0.0
2017/2018,Ontario,30 to 34 years,College,35,2.0
2017/2018,Ontario,30 to 34 years,University,35,2.0
2017/2018,Manitoba,30 to 34 years,Total participation rate,46,5.0
2017/2018,Manitoba,30 to 34 years,Elementary and/or High School,46,
2017/2018,Manitoba,30 to 34 years,College,46,2.0
2017/2018,Manitoba,30 to 34 years,University,46,3.0
2017/2018,Saskatchewan,30 to 34 years,Total participation rate,47,5.0
2017/2018,Saskatchewan,30 to 34 years,Elementary and/or High School,47,
2017/2018,Saskatchewan,30 to 34 years,College,47,1.0
2017/2018,Saskatchewan,30 to 34 years,University,47,3.0
2017/2018,Alberta,30 to 34 years,Total participation rate,48,6.0
2017/2018,Alberta,30 to 34 years,Elementary and/or High School,48,
2017/2018,Alberta,30 to 34 years,College,48,2.0
2017/2018,Alberta,30 to 34 years,University,48,3.0
2017/2018,British Columbia,30 to 34 years,Total participation rate,59,6.0
2017/2018,British Columbia,30 to 34 years,Elementary and/or High School,59,
2017/2018,British Columbia,30 to 34 years,College,59,3.0
2017/2018,British Columbia,30 to 34 years,University,59,3.0
2017/2018,Yukon,30 to 34 years,Total participation rate,60,
2017/2018,Yukon,30 to 34 years,Elementary and/or High School,60,
2017/2018,Yukon,30 to 34 years,College,60,
2017/2018,Yukon,30 to 34 years,University,60,
2017/2018,Northwest Territories,30 to 34 years,Total participation rate,61,
2017/2018,Northwest Territories,30 to 34 years,College,61,
2017/2018,Northwest Territories,30 to 34 years,University,61,
2017/2018,Nunavut,30 to 34 years,Total participation rate,62,
2017/2018,Nunavut,30 to 34 years,College,62,
2017/2018,Nunavut,30 to 34 years,University,62,
2018/2019,Canada,30 to 34 years,Total participation rate,,6.0
2018/2019,Canada,30 to 34 years,Elementary and/or High School,,0.0
2018/2019,Canada,30 to 34 years,College,,2.0
2018/2019,Canada,30 to 34 years,University,,4.0
2018/2019,Newfoundland and Labrador,30 to 34 years,Total participation rate,10,8.0
2018/2019,Newfoundland and Labrador,30 to 34 years,College,10,2.0
2018/2019,Newfoundland and Labrador,30 to 34 years,University,10,6.0
2018/2019,Prince Edward Island,30 to 34 years,Total participation rate,11,4.0
2018/2019,Prince Edward Island,30 to 34 years,College,11,
2018/2019,Prince Edward Island,30 to 34 years,University,11,3.0
2018/2019,Nova Scotia,30 to 34 years,Total participation rate,12,7.0
2018/2019,Nova Scotia,30 to 34 years,Elementary and/or High School,12,
2018/2019,Nova Scotia,30 to 34 years,College,12,2.0
2018/2019,Nova Scotia,30 to 34 years,University,12,5.0
2018/2019,New Brunswick,30 to 34 years,Total participation rate,13,4.0
2018/2019,New Brunswick,30 to 34 years,Elementary and/or High School,13,
2018/2019,New Brunswick,30 to 34 years,College,13,
2018/2019,New Brunswick,30 to 34 years,University,13,3.0
2018/2019,Quebec,30 to 34 years,Total participation rate,24,9.0
2018/2019,Quebec,30 to 34 years,Elementary and/or High School,24,0.0
2018/2019,Quebec,30 to 34 years,College,24,2.0
2018/2019,Quebec,30 to 34 years,University,24,6.0
2018/2019,Ontario,30 to 34 years,Total participation rate,35,5.0
2018/2019,Ontario,30 to 34 years,Elementary and/or High School,35,0.0
2018/2019,Ontario,30 to 34 years,College,35,2.0
2018/2019,Ontario,30 to 34 years,University,35,3.0
2018/2019,Manitoba,30 to 34 years,Total participation rate,46,6.0
2018/2019,Manitoba,30 to 34 years,Elementary and/or High School,46,
2018/2019,Manitoba,30 to 34 years,College,46,2.0
2018/2019,Manitoba,30 to 34 years,University,46,4.0
2018/2019,Saskatchewan,30 to 34 years,Total participation rate,47,6.0
2018/2019,Saskatchewan,30 to 34 years,Elementary and/or High School,47,
2018/2019,Saskatchewan,30 to 34 years,College,47,2.0
2018/2019,Saskatchewan,30 to 34 years,University,47,4.0
2018/2019,Alberta,30 to 34 years,Total participation rate,48,5.0
2018/2019,Alberta,30 to 34 years,Elementary and/or High School,48,
2018/2019,Alberta,30 to 34 years,College,48,2.0
2018/2019,Alberta,30 to 34 years,University,48,3.0
2018/2019,British Columbia,30 to 34 years,Total participation rate,59,6.0
2018/2019,British Columbia,30 to 34 years,Elementary and/or High School,59,
2018/2019,British Columbia,30 to 34 years,College,59,3.0
2018/2019,British Columbia,30 to 34 years,University,59,4.0
2018/2019,Yukon,30 to 34 years,Total participation rate,60,
2018/2019,Yukon,30 to 34 years,College,60,
2018/2019,Yukon,30 to 34 years,University,60,
2018/2019,Northwest Territories,30 to 34 years,Total participation rate,61,5.0
2018/2019,Northwest Territories,30 to 34 years,Elementary and/or High School,61,
2018/2019,Northwest Territories,30 to 34 years,College,61,
2018/2019,Northwest Territories,30 to 34 years,University,61,
2018/2019,Nunavut,30 to 34 years,Total participation rate,62,
2018/2019,Nunavut,30 to 34 years,Elementary and/or High School,62,
2018/2019,Nunavut,30 to 34 years,College,62,
2018/2019,Nunavut,30 to 34 years,University,62,
2019/2020,Canada,30 to 34 years,Total participation rate,,6.0
2019/2020,Canada,30 to 34 years,Elementary and/or High School,,0.0
2019/2020,Canada,30 to 34 years,College,,2.0
2019/2020,Canada,30 to 34 years,University,,4.0
2019/2020,Newfoundland and Labrador,30 to 34 years,Total participation rate,10,8.0
2019/2020,Newfoundland and Labrador,30 to 34 years,College,10,2.0
2019/2020,Newfoundland and Labrador,30 to 34 years,University,10,6.0
2019/2020,Prince Edward Island,30 to 34 years,Total participation rate,11,6.0
2019/2020,Prince Edward Island,30 to 34 years,College,11,3.0
2019/2020,Prince Edward Island,30 to 34 years,University,11,4.0
2019/2020,Nova Scotia,30 to 34 years,Total participation rate,12,4.0
2019/2020,Nova Scotia,30 to 34 years,Elementary and/or High School,12,
2019/2020,Nova Scotia,30 to 34 years,College,12,1.0
2019/2020,Nova Scotia,30 to 34 years,University,12,3.0
2019/2020,New Brunswick,30 to 34 years,Total participation rate,13,5.0
2019/2020,New Brunswick,30 to 34 years,College,13,2.0
2019/2020,New Brunswick,30 to 34 years,University,13,3.0
2019/2020,Quebec,30 to 34 years,Total participation rate,24,7.0
2019/2020,Quebec,30 to 34 years,Elementary and/or High School,24,0.0
2019/2020,Quebec,30 to 34 years,College,24,2.0
2019/2020,Quebec,30 to 34 years,University,24,5.0
2019/2020,Ontario,30 to 34 years,Total participation rate,35,5.0
2019/2020,Ontario,30 to 34 years,Elementary and/or High School,35,0.0
2019/2020,Ontario,30 to 34 years,College,35,2.0
2019/2020,Ontario,30 to 34 years,University,35,3.0
2019/2020,Manitoba,30 to 34 years,Total participation rate,46,6.0
2019/2020,Manitoba,30 to 34 years,Elementary and/or High School,46,
2019/2020,Manitoba,30 to 34 years,College,46,1.0
2019/2020,Manitoba,30 to 34 years,University,46,4.0
2019/2020,Saskatchewan,30 to 34 years,Total participation rate,47,6.0
2019/2020,Saskatchewan,30 to 34 years,Elementary and/or High School,47,
2019/2020,Saskatchewan,30 to 34 years,College,47,2.0
2019/2020,Saskatchewan,30 to 34 years,University,47,4.0
2019/2020,Alberta,30 to 34 years,Total participation rate,48,6.0
2019/2020,Alberta,30 to 34 years,Elementary and/or High School,48,
2019/2020,Alberta,30 to 34 years,College,48,1.0
2019/2020,Alberta,30 to 34 years,University,48,4.0
2019/2020,British Columbia,30 to 34 years,Total participation rate,59,6.0
2019/2020,British Columbia,30 to 34 years,Elementary and/or High School,59,
2019/2020,British Columbia,30 to 34 years,College,59,2.0
2019/2020,British Columbia,30 to 34 years,University,59,4.0
2019/2020,Yukon,30 to 34 years,Total participation rate,60,
2019/2020,Yukon,30 to 34 years,College,60,
2019/2020,Yukon,30 to 34 years,University,60,
2019/2020,Northwest Territories,30 to 34 years,Total participation rate,61,
2019/2020,Northwest Territories,30 to 34 years,College,61,
2019/2020,Northwest Territories,30 to 34 years,University,61,
2019/2020,Nunavut,30 to 34 years,Total participation rate,62,
2019/2020,Nunavut,30 to 34 years,College,62,
2019/2020,Nunavut,30 to 34 years,University,62,
2020/2021,Canada,30 to 34 years,Total participation rate,,6.0
2020/2021,Canada,30 to 34 years,Elementary and/or High School,,0.0
2020/2021,Canada,30 to 34 years,College,,2.0
2020/2021,Canada,30 to 34 years,University,,4.0
2020/2021,Newfoundland and Labrador,30 to 34 years,Total participation rate,10,7.0
2020/2021,Newfoundland and Labrador,30 to 34 years,College,10,2.0
2020/2021,Newfoundland and Labrador,30 to 34 years,University,10,5.0
2020/2021,Prince Edward Island,30 to 34 years,Total participation rate,11,6.0
2020/2021,Prince Edward Island,30 to 34 years,College,11,3.0
2020/2021,Prince Edward Island,30 to 34 years,University,11,3.0
2020/2021,Nova Scotia,30 to 34 years,Total participation rate,12,5.0
2020/2021,Nova Scotia,30 to 34 years,College,12,2.0
2020/2021,Nova Scotia,30 to 34 years,University,12,3.0
2020/2021,New Brunswick,30 to 34 years,Total participation rate,13,5.0
2020/2021,New Brunswick,30 to 34 years,Elementary and/or High School,13,
2020/2021,New Brunswick,30 to 34 years,College,13,2.0
2020/2021,New Brunswick,30 to 34 years,University,13,3.0
2020/2021,Quebec,30 to 34 years,Total participation rate,24,10.0
2020/2021,Quebec,30 to 34 years,Elementary and/or High School,24,1.0
2020/2021,Quebec,30 to 34 years,College,24,2.0
2020/2021,Quebec,30 to 34 years,University,24,7.0
2020/2021,Ontario,30 to 34 years,Total participation rate,35,5.0
2020/2021,Ontario,30 to 34 years,Elementary and/or High School,35,0.0
2020/2021,Ontario,30 to 34 years,College,35,2.0
2020/2021,Ontario,30 to 34 years,University,35,3.0
2020/2021,Manitoba,30 to 34 years,Total participation rate,46,5.0
2020/2021,Manitoba,30 to 34 years,Elementary and/or High School,46,
2020/2021,Manitoba,30 to 34 years,College,46,2.0
2020/2021,Manitoba,30 to 34 years,University,46,3.0
2020/2021,Saskatchewan,30 to 34 years,Total participation rate,47,4.0
2020/2021,Saskatchewan,30 to 34 years,Elementary and/or High School,47,
2020/2021,Saskatchewan,30 to 34 years,College,47,1.0
2020/2021,Saskatchewan,30 to 34 years,University,47,3.0
2020/2021,Alberta,30 to 34 years,Total participation rate,48,5.0
2020/2021,Alberta,30 to 34 years,Elementary and/or High School,48,
2020/2021,Alberta,30 to 34 years,College,48,2.0
2020/2021,Alberta,30 to 34 years,University,48,3.0
2020/2021,British Columbia,30 to 34 years,Total participation rate,59,6.0
2020/2021,British Columbia,30 to 34 years,Elementary and/or High School,59,
2020/2021,British Columbia,30 to 34 years,College,59,2.0
2020/2021,British Columbia,30 to 34 years,University,59,3.0
2020/2021,Yukon,30 to 34 years,Total participation rate,60,7.0
2020/2021,Yukon,30 to 34 years,College,60,
2020/2021,Yukon,30 to 34 years,University,60,7.0
2020/2021,Northwest Territories,30 to 34 years,Total participation rate,61,
2020/2021,Northwest Territories,30 to 34 years,Elementary and/or High School,61,
2020/2021,Northwest Territories,30 to 34 years,College,61,
2020/2021,Northwest Territories,30 to 34 years,University,61,
2020/2021,Nunavut,30 to 34 years,Total participation rate,62,
2020/2021,Nunavut,30 to 34 years,Elementary and/or High School,62,
2020/2021,Nunavut,30 to 34 years,College,62,
2020/2021,Nunavut,30 to 34 years,University,62,
2021/2022,Canada,30 to 34 years,Total participation rate,,6.0
2021/2022,Canada,30 to 34 years,Elementary and/or High School,,0.0
2021/2022,Canada,30 to 34 years,College,,2.0
2021/2022,Canada,30 to 34 years,University,,4.0
2021/2022,Newfoundland and Labrador,30 to 34 years,Total participation rate,10,7.0
2021/2022,Newfoundland and Labrador,30 to 34 years,College,10,
2021/2022,Newfoundland and Labrador,30 to 34 years,University,10,5.0
2021/2022,Prince Edward Island,30 to 34 years,Total participation rate,11,6.0
2021/2022,Prince Edward Island,30 to 34 years,College,11,3.0
2021/2022,Prince Edward Island,30 to 34 years,University,11,3.0
2021/2022,Nova Scotia,30 to 34 years,Total participation rate,12,6.0
2021/2022,Nova Scotia,30 to 34 years,College,12,2.0
2021/2022,Nova Scotia,30 to 34 years,University,12,4.0
2021/2022,New Brunswick,30 to 34 years,Total participation rate,13,6.0
2021/2022,New Brunswick,30 to 34 years,Elementary and/or High School,13,
2021/2022,New Brunswick,30 to 34 years,College,13,2.0
2021/2022,New Brunswick,30 to 34 years,University,13,3.0
2021/2022,Quebec,30 to 34 years,Total participation rate,24,9.0
2021/2022,Quebec,30 to 34 years,Elementary and/or High School,24,
2021/2022,Quebec,30 to 34 years,College,24,2.0
2021/2022,Quebec,30 to 34 years,University,24,6.0
2021/2022,Ontario,30 to 34 years,Total participation rate,35,5.0
2021/2022,Ontario,30 to 34 years,Elementary and/or High School,35,
2021/2022,Ontario,30 to 34 years,College,35,2.0
2021/2022,Ontario,30 to 34 years,University,35,3.0
2021/2022,Manitoba,30 to 34 years,Total participation rate,46,7.0
2021/2022,Manitoba,30 to 34 years,Elementary and/or High School,46,
2021/2022,Manitoba,30 to 34 years,College,46,2.0
2021/2022,Manitoba,30 to 34 years,University,46,5.0
2021/2022,Saskatchewan,30 to 34 years,Total participation rate,47,5.0
2021/2022,Saskatchewan,30 to 34 years,Elementary and/or High School,47,
2021/2022,Saskatchewan,30 to 34 years,College,47,2.0
2021/2022,Saskatchewan,30 to 34 years,University,47,4.0
2021/2022,Alberta,30 to 34 years,Total participation rate,48,5.0
2021/2022,Alberta,30 to 34 years,Elementary and/or High School,48,
2021/2022,Alberta,30 to 34 years,College,48,2.0
2021/2022,Alberta,30 to 34 years,University,48,3.0
2021/2022,British Columbia,30 to 34 years,Total participation rate,59,5.0
2021/2022,British Columbia,30 to 34 years,Elementary and/or High School,59,
2021/2022,British Columbia,30 to 34 years,College,59,2.0
2021/2022,British Columbia,30 to 34 years,University,59,3.0
2021/2022,Yukon,30 to 34 years,Total participation rate,60,10.0
2021/2022,Yukon,30 to 34 years,College,60,
2021/2022,Yukon,30 to 34 years,University,60,10.0
2021/2022,Northwest Territories,30 to 34 years,Total participation rate,61,
2021/2022,Northwest Territories,30 to 34 years,Elementary and/or High School,61,
2021/2022,Northwest Territories,30 to 34 years,College,61,
2021/2022,Northwest Territories,30 to 34 years,University,61,
2021/2022,Nunavut,30 to 34 years,Total participation rate,62,
2021/2022,Nunavut,30 to 34 years,College,62,
2021/2022,Nunavut,30 to 34 years,University,62,
